epoch,train_mse,val_mse,test_mse,train_overall_corr,train_overall_r2,train_node_corr_mean,train_node_r2_mean,train_node_corr_median,train_node_r2_median,train_node_corr_min,train_node_corr_max,train_node_r2_min,train_node_r2_max,val_overall_corr,val_overall_r2,val_node_corr_mean,val_node_r2_mean,test_overall_corr,test_overall_r2,test_node_corr_mean,test_node_r2_mean,test_node_corr_median,test_node_r2_median,test_node_corr_min,test_node_corr_max,test_node_r2_min,test_node_r2_max,struct_auc,struct_auprc,struct_corr,struct_mse,struct_mae,struct_mean_weight,struct_std_weight
50,67.15904942165415,349.57136101973686,513.4626850328947,0.6402467728116609,0.3850228786468506,0.6349749362704464,0.3665079951286316,0.6506788529081671,0.3925083577632904,0.4990728536241129,0.7799934177178895,0.17636096477508545,0.5544617772102356,0.6563240750493367,0.3912368416786194,0.6298414015829461,0.3269581854343414,0.5312893641184201,0.2518671751022339,0.5303375495154604,0.2278422385454178,0.5471506322469601,0.24246680736541748,0.378248139308944,0.6555505247110627,0.07922482490539551,0.3648616671562195,0.5304878048780487,0.22121999803941805,0.033691967748711714,0.24872761160006687,0.495568263922867,0.4949333147783028,0.05597924953109056
100,55.12009518896312,206.5340023643092,323.9540501644737,0.8097701966397634,0.6467618346214294,0.8065386609003466,0.6411500364542008,0.8171236087075393,0.652625322341919,0.7106049045500387,0.8932444871697813,0.4962615966796875,0.7866968512535095,0.8104607228163453,0.6403300762176514,0.7913933605785234,0.5957225367426873,0.7380225416539957,0.5279878079891205,0.7300359734030647,0.5043665751814842,0.7463220696373258,0.5085500478744507,0.6004269730586399,0.8244650984195784,0.3465321660041809,0.6292649805545807,0.5311016532984122,0.22317891635296222,0.035508751087247416,0.2488878584482686,0.4905291607505397,0.48799656174684825,0.09063451421964873
150,48.2140306668231,135.03525904605263,225.06384662828947,0.8803832313884643,0.7717986851930618,0.8757799609767363,0.7635704137384891,0.8807877213913552,0.7720428183674812,0.8192547610226809,0.929572309521016,0.6698810756206512,0.8596875965595245,0.8753692606291964,0.7648420184850693,0.8681710167307001,0.7455235078930855,0.8220967324085741,0.6720741987228394,0.8158097795204554,0.657628858089447,0.8235517908984036,0.6701200008392334,0.7208947698500977,0.8754074438782756,0.5194287598133087,0.7592355012893677,0.531797348174824,0.22542131818214078,0.040305294336985306,0.2500740220561792,0.4789923280673592,0.47134591739036535,0.1423398663011184
200,41.71551535239068,116.05937371504935,198.47631064967106,0.8998556692640913,0.8085325807332993,0.895458595224486,0.7995752085000276,0.8995677256282755,0.8077912628650665,0.853303466854395,0.938810069539903,0.7273599803447723,0.8795042708516121,0.8932889408641324,0.7978876829147339,0.8923547732662908,0.7864786706864834,0.8437844087677663,0.7108131945133209,0.8403648093036733,0.7012117825448513,0.8459340289169546,0.7095736712217331,0.7399767018171821,0.8803398063149752,0.5400667488574982,0.7720552980899811,0.5356850548371256,0.2291536065548358,0.046913338033820244,0.2554399079741454,0.4552357333516212,0.4358251458867208,0.21467594816854452
250,37.60732439128754,102.20999948601974,176.30238486842106,0.9140534778118632,0.8326368033885956,0.9084177469486324,0.8200026113539934,0.9121233791340722,0.8251979947090149,0.8673737505068473,0.9470268849701888,0.7440305352210999,0.8918192908167839,0.9072274368977414,0.8220057636499405,0.9064199879191872,0.8124025613069534,0.8634120971690783,0.743121325969696,0.8563160183210027,0.7267752937972546,0.8656203351845395,0.7368934452533722,0.7621990174114108,0.8904775629161265,0.5679029226303101,0.7875420898199081,0.5459977082992307,0.23726398057615775,0.04639881054734083,0.27148531898563916,0.4190681597162773,0.37747471335307253,0.2956428815335322
300,34.51116662985866,98.1766755756579,161.0219546669408,0.9233372524713721,0.8512925654649734,0.9173072638838381,0.8382660496979952,0.921172489233924,0.8459089994430542,0.8779882924438999,0.9488525339964796,0.765005886554718,0.8948965519666672,0.910841112553879,0.8290296345949173,0.9120650850236413,0.8242659091949462,0.8758554642865034,0.7653854489326477,0.8676674752360221,0.7470538891851902,0.874625297364977,0.757608488202095,0.7761513973159697,0.9039821159790391,0.5826433897018433,0.8134353458881378,0.5584792928466197,0.2472552634490015,0.05050395831998423,0.291245351087574,0.3943997207022269,0.3396640650702466,0.34804887351570185
350,33.15267588477253,98.72989566200658,160.36025904605262,0.9274285621186883,0.8554920703172684,0.9209082574723272,0.841622107103467,0.9245194286016455,0.8498203232884407,0.8819612218109737,0.9539235891831981,0.7698963582515717,0.8987860009074211,0.9113381698016828,0.8280662149190903,0.9139406579845657,0.8271326798945665,0.8774829483276854,0.7663495689630508,0.8715452000574881,0.7519644424319267,0.88178718158691,0.7665518745779991,0.7783691228226184,0.9050901841500256,0.583973616361618,0.8124919533729553,0.5689965624488459,0.2569554911522021,0.055657249041619686,0.3002923620400201,0.3695870597077536,0.3008232732324436,0.3755448493142046
