adj_type,msg_config,num_nodes_keep,total_samples,mean_one_minus_r2,std_one_minus_r2,n_runs
runs3thr0p6,rate_x,15,615,0.24213718473911286,0.008043855514742269,5
runs3thr0p6,rate_x,15,660,0.2761240750551224,0.020608096799074643,5
runs3thr0p6,rate_x,15,705,0.24414645433425902,0.006964532559466472,5
runs3thr0p6,rate_x,15,750,0.2702683746814728,0.0077905832289659055,5
runs3thr0p6,rate_x,15,795,0.24990871846675872,0.008545792970300647,5
runs3thr0p6,rate_x,20,40,0.8863763213157654,0.17445613993883574,5
runs3thr0p6,rate_x,20,80,0.6455640017986297,0.21861918681422463,5
runs3thr0p6,rate_x,20,120,0.48459410667419434,0.08310241392777319,5
runs3thr0p6,rate_x,20,160,0.32707240581512453,0.03711144094877449,5
runs3thr0p6,rate_x,20,200,0.3090183615684509,0.030594581398888633,5
runs3thr0p6,rate_x,20,240,0.346083265542984,0.04329470439029077,5
runs3thr0p6,rate_x,20,280,0.2771387010812759,0.016266342087974627,5
runs3thr0p6,rate_x,20,320,0.26718384623527525,0.01316899047224081,5
runs3thr0p6,rate_x,20,360,0.2857359766960144,0.010601470242112719,5
runs3thr0p6,rate_x,20,400,0.2724207878112793,0.012866541211607086,5
runs3thr0p6,rate_x,20,440,0.27637405395507814,0.023271878064598094,5
runs3thr0p6,rate_x,20,480,0.26984510719776156,0.019161135332509564,5
runs3thr0p6,rate_x,20,520,0.2629150032997131,0.009526140687244953,5
runs3thr0p6,rate_x,20,560,0.27985970973968505,0.008618970889194517,5
runs3thr0p6,rate_x,20,600,0.24762227535247802,0.014647688833580912,5
runs3thr0p6,rate_x,20,640,0.2477514088153839,0.005928962517725318,5
runs3thr0p6,rate_x,20,680,0.25183033049106596,0.009723614853101003,5
runs3thr0p6,rate_x,20,720,0.24450549483299255,0.0066521630835398365,5
runs3thr0p6,rate_x,20,760,0.2401743173599243,0.009906166443587208,5
runs3thr0p6,rate_x,20,800,0.24126696586608887,0.005722312182278508,5
