epoch,train_mse,val_mse,test_mse,train_overall_corr,train_overall_r2,train_node_corr_mean,train_node_r2_mean,train_node_corr_median,train_node_r2_median,train_node_corr_min,train_node_corr_max,train_node_r2_min,train_node_r2_max,val_overall_corr,val_overall_r2,val_node_corr_mean,val_node_r2_mean,test_overall_corr,test_overall_r2,test_node_corr_mean,test_node_r2_mean,test_node_corr_median,test_node_r2_median,test_node_corr_min,test_node_corr_max,test_node_r2_min,test_node_r2_max,struct_auc,struct_auprc,struct_corr,struct_mse,struct_mae,struct_mean_weight,struct_std_weight
50,64.43651308524736,317.7045435855263,476.77654194078946,0.6689940043582648,0.4356476068496704,0.6586190509710385,0.41995974332094194,0.6728516832458269,0.4465521275997162,0.5317629236926709,0.7986905543138643,0.2494092583656311,0.6183027029037476,0.6794632540353115,0.4467315077781677,0.6479023858340526,0.39036732763051984,0.5656326986360757,0.305320143699646,0.5526499017139079,0.28953710198402405,0.5506071105016603,0.28752610087394714,0.3984464922396792,0.6754883604706029,0.15266162157058716,0.45269304513931274,0.5008593877885088,0.21521449074415583,-0.014388250924409785,0.25231547990550357,0.49885493014988147,0.4967622813425566,0.05873727039552783
100,54.93524320892226,196.72177991365132,315.8603824013158,0.8162844296010161,0.6531723141670227,0.8107066960076669,0.6469325304031373,0.8214269194022027,0.6601022332906723,0.7250986321852831,0.8891990841357827,0.5207099318504333,0.7799789607524872,0.8178186257096035,0.6574176549911499,0.8005526834839733,0.6248807609081268,0.7478000434942762,0.5397804975509644,0.7415704088171318,0.5299850627779961,0.7424440442858351,0.524981364607811,0.6443435262818156,0.8302448739601753,0.39292609691619873,0.6628161072731018,0.5041741692584711,0.21582295718355243,-0.007825191038573594,0.25516070872148794,0.49598872230241176,0.49186232474289443,0.0954241303889436
150,46.07403499751546,139.4012849506579,223.9940583881579,0.8831881040008485,0.7738762348890305,0.876251381177432,0.7584554888308048,0.881951125223488,0.762907937169075,0.813463853958093,0.9275214920775091,0.6421413123607635,0.8508164286613464,0.875032924540784,0.7572387456893921,0.8682016557778782,0.7316894076764584,0.8260621352552329,0.6736329197883606,0.8163210451824346,0.6482849091291427,0.8244702484310336,0.6566554456949234,0.7129667476626743,0.881860279455425,0.49966639280319214,0.7570899873971939,0.5105172696022262,0.21783958580230095,0.005758416206178152,0.26100278896294604,0.4877969179498522,0.4797900687707098,0.1509881773278995
200,41.27853555308635,116.67609477796053,190.91396998355262,0.9035207424030959,0.8145039081573486,0.8970519058122459,0.8015078477561474,0.9007848870483757,0.8066984117031097,0.8455846270514507,0.9395997191638975,0.7133742570877075,0.8772523552179337,0.893938585075601,0.7968136966228485,0.8935677721598119,0.7871614187955857,0.8530536302596894,0.721831738948822,0.8474927332675446,0.7084252446889877,0.8559105712885096,0.7175851613283157,0.7382445279953246,0.8969607259656521,0.5404721200466156,0.790847584605217,0.5178425274185627,0.2186438024135981,0.017784501553206534,0.2723129183003285,0.47023513185742655,0.4533863699357761,0.2233941716677892
250,36.54125070740393,107.3386384662829,167.91232781661185,0.915845444678984,0.835960179567337,0.9102534738702053,0.8240245811641216,0.9143738299802446,0.8308112248778343,0.8709236542417874,0.9429496072323376,0.7560389786958694,0.8818946406245232,0.9030985658741454,0.8130744397640228,0.9049020637352687,0.8077576629817486,0.8717581502657913,0.7553459405899048,0.8639144081598749,0.7385903112590313,0.8722773095600906,0.7476142719388008,0.7603052548165351,0.9006995532410298,0.5671400427818298,0.8004487305879593,0.5315927320347028,0.228365113724204,0.04991438670206536,0.28770993143535994,0.4335034780167533,0.40531142846754703,0.3086106411641539
300,34.10262791933525,101.9380705180921,162.93605571546053,0.9242799624830846,0.8503616601228714,0.9182846456859559,0.83731032833457,0.9218321363410624,0.8436869606375694,0.8810028402208788,0.9490960060205419,0.7741210162639618,0.8888064101338387,0.9088244725683212,0.8224793076515198,0.9118710889817072,0.8218099988996983,0.8766066261291791,0.762596532702446,0.8683668803895724,0.746414190530777,0.8761513294010621,0.7572979778051376,0.771536523180413,0.9039456050948687,0.5828290283679962,0.8084094822406769,0.5329431985595025,0.22822860432925232,0.0513426830414605,0.31610298789652774,0.4090614121529047,0.3677772951990176,0.37357560423391584
